method,seed,lr,tau,standard_spo_loss,path_accuracy,edge_overlap,runtime_s
ddo-md,0,0.1,0.05,0.5799412131309509,0.087890625,0.36210939288139343,0.02873272600004384
ddo-md,1,0.1,0.05,0.5966698527336121,0.06640625,0.3363281488418579,0.028486430000384644
ddo-md,2,0.1,0.05,0.588733434677124,0.05078125,0.32421875,0.028218975000072533
ddo-md,3,0.1,0.05,0.5566853284835815,0.08203125,0.3617187738418579,0.03169765599955099
ddo-md,4,0.1,0.05,0.5302028059959412,0.083984375,0.37773436307907104,0.028332105999879786
mse,0,0.03,0.0,0.6358621120452881,0.08203125,0.33515626192092896,0.02369504899979802
mse,1,0.03,0.0,0.615304708480835,0.07421875,0.3257811963558197,0.023282443000198327
mse,2,0.03,0.0,0.5751949548721313,0.08203125,0.34101563692092896,0.02349680699921919
mse,3,0.03,0.0,0.6595847010612488,0.064453125,0.30976560711860657,0.025598045999458918
mse,4,0.03,0.0,0.6414296627044678,0.064453125,0.32148435711860657,0.025255292000565532
spo,0,0.001,0.0,1.0166692733764648,0.009765625,0.20664063096046448,0.02968698500035316
spo,1,0.001,0.0,1.0700100660324097,0.005859375,0.17031250894069672,0.02960026199980348
spo,2,0.001,0.0,1.0249487161636353,0.009765625,0.1992187649011612,0.029067346000147154
spo,3,0.001,0.0,1.140607476234436,0.005859375,0.17734377086162567,0.02938320099997327
spo,4,0.001,0.0,1.0441454648971558,0.013671875,0.20039062201976776,0.027488208000022496
spo+,0,0.03,0.0,0.6257326602935791,0.046875,0.31328126788139343,0.029938290999780293
spo+,1,0.03,0.0,0.6827201843261719,0.060546875,0.30937501788139343,0.03382844599991586
spo+,2,0.03,0.0,0.6112762093544006,0.068359375,0.326171875,0.029254289999698813
spo+,3,0.03,0.0,0.6229710578918457,0.07421875,0.33476564288139343,0.030540913000095316
spo+,4,0.03,0.0,0.6539852023124695,0.04296875,0.3070312738418579,0.029634028000145918
